op_id,op_type,dtype,variance,cal_amount_percent,value_range_in_bits,saturation,per
0,icraft::xir::InputNode,FLOAT32,0.35,0.00%,32;32,null;null,tensor;tensor
1,icraft::xir::ReshapeNode,INT16,0.08,0.00%,16;16,null;null,tensor;tensor
2,icraft::xir::MatmulNode,INT16,0.04,0.00%,16;16,null;null,tensor;tensor
3,icraft::xir::ReluNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
4,icraft::xir::SplitNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
5,icraft::xir::ReshapeNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
6,icraft::xir::ReshapeNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
7,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
8,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
9,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
10,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
11,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
12,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
13,icraft::xir::ReshapeNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
14,icraft::xir::ReshapeNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
15,icraft::xir::MatmulNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
16,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
17,icraft::xir::SplitNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
18,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
19,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
20,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
21,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
22,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
23,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
24,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
25,icraft::xir::TanhNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
26,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
27,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
28,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
29,icraft::xir::MatmulNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
30,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
31,icraft::xir::SplitNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
32,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
33,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
34,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
35,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
36,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
37,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
38,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
39,icraft::xir::TanhNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
40,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
41,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
42,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
43,icraft::xir::MatmulNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
44,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
45,icraft::xir::SplitNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
46,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
47,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
48,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
49,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
50,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
51,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
52,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
53,icraft::xir::TanhNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
54,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
55,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
56,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
57,icraft::xir::MatmulNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
58,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
59,icraft::xir::SplitNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
60,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
61,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
62,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
63,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
64,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
65,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
66,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
67,icraft::xir::TanhNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
68,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
69,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
70,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
71,icraft::xir::MatmulNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
72,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
73,icraft::xir::SplitNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
74,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
75,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
76,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
77,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
78,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
79,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
80,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
81,icraft::xir::TanhNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
82,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
83,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
84,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
85,icraft::xir::MatmulNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
86,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
87,icraft::xir::SplitNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
88,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
89,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
90,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
91,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
92,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
93,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
94,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
95,icraft::xir::TanhNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
96,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
97,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
98,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
99,icraft::xir::MatmulNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
100,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
101,icraft::xir::SplitNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
102,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
103,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
104,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
105,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
106,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
107,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
108,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
109,icraft::xir::TanhNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
110,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
111,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
112,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
113,icraft::xir::MatmulNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
114,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
115,icraft::xir::SplitNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
116,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
117,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
118,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
119,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
120,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
121,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
122,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
123,icraft::xir::TanhNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
124,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
125,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
126,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
127,icraft::xir::MatmulNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
128,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
129,icraft::xir::SplitNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
130,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
131,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
132,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
133,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
134,icraft::xir::SigmoidNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
135,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
136,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
137,icraft::xir::TanhNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
138,icraft::xir::AddNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
139,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
140,icraft::xir::AddNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
151,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
154,icraft::xir::MaxpoolNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
159,icraft::xir::MaxpoolNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
164,icraft::xir::MaxpoolNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
169,icraft::xir::MaxpoolNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
174,icraft::xir::MaxpoolNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
179,icraft::xir::MaxpoolNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
184,icraft::xir::MaxpoolNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
189,icraft::xir::MaxpoolNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
194,icraft::xir::MaxpoolNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
197,icraft::xir::ConcatNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
200,icraft::xir::ReshapeNode,INT16,0.98,0.00%,16;16,null;null,tensor;tensor
201,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
202,icraft::xir::MatmulNode,INT16,0.33,0.00%,16;16,null;null,tensor;tensor
203,icraft::xir::MatmulNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
204,icraft::xir::SplitNode,INT16,0.33,0.00%,16;16,null;null,tensor;tensor
205,icraft::xir::SplitNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
206,icraft::xir::AddNode,INT16,0.34,0.00%,16;16,null;null,tensor;tensor
207,icraft::xir::SigmoidNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
208,icraft::xir::AddNode,INT16,0.33,0.00%,16;16,null;null,tensor;tensor
209,icraft::xir::SigmoidNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
210,icraft::xir::MultiplyNode,INT16,0.00,0.00%,16;16,null;null,tensor;tensor
211,icraft::xir::AddNode,INT16,0.33,0.00%,16;16,null;null,tensor;tensor
212,icraft::xir::TanhNode,INT16,0.21,0.00%,16;16,null;null,tensor;tensor
213,icraft::xir::AddNode,INT16,0.21,0.00%,16;16,null;null,tensor;tensor
214,icraft::xir::MultiplyNode,INT16,0.06,0.00%,16;16,null;null,tensor;tensor
215,icraft::xir::AddNode,INT16,0.06,0.00%,16;16,null;null,tensor;tensor
217,icraft::xir::ReshapeNode,INT16,0.06,0.00%,16;16,null;null,tensor;tensor
218,icraft::xir::MatmulNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
219,icraft::xir::ReshapeNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
220,icraft::xir::TransposeNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
221,icraft::xir::ReshapeNode,INT16,0.02,0.00%,16;16,null;null,tensor;tensor
222,icraft::xir::MatmulNode,INT16,0.65,0.00%,14;14,null;null,tensor;tensor
223,icraft::xir::OutputNode,FLOAT32,0.00,0.00%,32;32,null;null,tensor;tensor
224,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
225,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
226,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
227,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
228,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
229,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
230,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
231,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
232,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
233,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
234,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
235,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
236,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
237,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
238,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
239,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
240,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
241,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
242,icraft::xir::TransposeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
243,icraft::xir::ReshapeNode,INT16,0.01,0.00%,16;16,null;null,tensor;tensor
